DMA,Name,DMA Name,Area,Latitude,Longitude,Country,Population 18+,Household Count,Med HHld Income,HHlds No Vehicles,HHlds 1-2 Vehicles,HHlds 2+ Vehicles,HHld Exp - Public Transport,HHld Exp - Intercity Bus Fare,HHld Exp - Mass Transit,HHld Exp - Taxi,HHld Exp - Other Public Transportation,White,African American,American Indian,Asian,Hawaiian/Pacific Islander,Other Race,Multi-Race,Hispanic
662,Abilene-Sweetwater,Abilene-Sweetwater,16072.60631,32.62298,-99.82934,United States,237636,121955,47202,6175,42605,73175,608.86,17.93,104.86,23.3,70.89,206058,18796,1276,4430,142,371,4714,77837
525,Albany (GA),Albany (GA),6411.76385,31.46922,-83.71219,United States,304285,157918,38539,16206,56997,84715,552.97,16.31,95.21,21.17,64.41,209533,159231,839,4671,139,351,4401,30071
532,Albany-Schenectady-Troy,Albany-Schenectady-Troy,10318.68614,42.73964,-73.84374,United States,1103229,590561,64495,55316,211407,323838,781.78,23.05,134.45,29.93,91.16,1150528,88696,2333,46125,318,3147,26773,68157
790,Albuquerque-Santa Fe,Albuquerque-Santa Fe,117518.8359,33.8192,-106.52693,United States,1447666,761052,50710,42073,251716,467263,655.97,19.31,112.95,25.11,76.31,764161,37961,134783,31249,1030,23953,94521,827629
644,Alexandria (LA),Alexandria (LA),4237.00579,31.32247,-92.62778,United States,177072,92212,43095,6824,33444,51944,576.82,16.99,99.4,22.09,67.08,152109,64306,1802,3587,241,176,5322,10666
583,Alpena,Alpena,1284.37911,44.66022,-83.57484,United States,31131,17580,43111,1078,6302,10200,559.84,16.52,96.24,21.33,65.79,36322,224,178,241,11,4,489,636
634,Amarillo,Amarillo,43068.53311,35.2862,-102.06361,United States,400731,207832,51454,9519,67346,130967,659.68,19.4,113.71,25.28,76.51,303773,26978,3211,13741,185,942,7859,195053
743,Anchorage,Anchorage,42779.71605,61.06396,-149.14639,United States,340682,168610,84630,9007,48625,110978,948.78,27.87,163.45,36.41,109.79,305538,19141,23463,30751,4389,1070,42575,34155
524,Atlanta,Atlanta,17797.67079,33.25012,-84.33356,United States,5262308,2619317,62663,144131,820362,1654824,816.73,24,140.76,31.32,94.57,3637619,2135064,13996,376766,2584,23444,119742,741050
520,Augusta,Augusta,8017.51667,33.30757,-81.90608,United States,545041,283020,49074,20162,91192,171666,629.33,18.52,108.38,24.09,73.19,385430,265935,2049,13613,681,671,14108,35425
