date,region,location,number_of_consumer_units__in_thousands_,income_before_taxes,age_of_reference_person,persons,children_under_18,persons_65_and_over,earners,vehicles,percent_homeowner,average_annual_expenditures,food,food_at_home,cereals_and_bakery_products,x___meats__poultry__fish__and_eggs,dairy_products,fruits_and_vegetables,other_food_at_home,food_away_from_home,alcoholic_beverages,housing,shelter,owned_dwellings,rented_dwellings,other_lodging,x__utilities__fuels__and_public_services,household_operations,housekeeping_supplies,household_furnishings_and_equipment,apparel_and_services,transportation,vehicle_purchases__net_outlay_,gasoline_and_motor_oil,other_vehicle_expenses,public_and_other_transportation,health_care,entertainment,personal_care_products_and_services,reading,education,tobacco_products_and_smoking_supplies,miscellaneous,cash_contributions,personal_insurance_and_pensions,life_and_other_personal_insurance,pensions_and_social_security
2008,midwest,All consumer units in the Midwest,27661,60488,48.8,2.4,0.6,0.3,1.3,2.1,68,47201,5998,3605,496,756,420,604,1329,2393,434,15331,8840,6205,1993,642,3474,822,680,1515,1540,8035,2897,2300,2423,415,3160,2693,544,115,1066,382,761,1694,5446,323,5124
2008,midwest,Chicago,3498,74887,49.8,2.6,0.6,0.3,1.4,1.8,71,56947,7037,4250,584,960,434,766,1506,2787,510,20620,13116,9379,2771,966,4052,1133,624,1695,2206,8840,3101,2364,2636,739,3485,2861,711,114,1486,362,863,1897,5953,313,5640
2008,midwest,Detroit,2211,62489,50.4,2.4,0.6,0.3,1.2,2,72,49397,6412,3944,540,849,435,670,1450,2467,367,16344,9635,6658,2200,777,3791,933,597,1388,1678,9463,2793,2624,3674,373,2672,2742,614,110,1270,504,943,1327,4952,270,4682
2009,midwest,All consumer units in the Midwest,27267,59170,49,2.4,0.6,0.3,1.3,2.1,69,45918,5884,3629,505,740,403,643,1339,2255,399,14936,8636,6016,1967,653,3418,819,658,1405,1468,7437,2665,2019,2330,423,3268,2588,528,106,1128,395,786,1637,5355,362,4994
2008,midwest,Cleveland,1072,61611,53.7,2.4,0.5,0.3,1.4,1.9,71,45844,5737,3642,492,861,420,596,1274,2094,424,15483,8820,5716,2286,818,3837,796,658,1372,1550,7010,2098,2049,2409,454,3315,2423,460,113,1152,397,796,1389,5593,311,5282
2010,midwest,All consumer units in the Midwest,27052,59659,49.1,2.4,0.6,0.3,1.3,2,68,46247,5987,3709,523,754,398,682,1352,2278,383,14847,8461,5797,2050,614,3451,904,639,1392,1549,7669,2605,2371,2254,440,3443,2534,550,112,1124,373,769,1632,5275,340,4934
2009,midwest,Chicago,3523,75163,49.6,2.6,0.7,0.3,1.4,1.8,70,57022,7200,4433,615,956,433,875,1555,2767,411,20537,13218,9404,2760,1054,3969,1075,676,1598,1985,8662,3025,2157,2637,843,3500,3095,703,111,1587,332,768,1815,6315,403,5912
2009,midwest,Detroit,2187,64062,50.3,2.5,0.6,0.3,1.2,2,70,50608,6058,3947,546,857,405,709,1429,2111,360,16489,9665,6664,2230,771,3911,958,618,1336,1645,9460,3414,2212,3440,394,2871,2810,601,108,1550,495,1320,1536,5305,322,4983
2007,midwest,All consumer units in the Midwest,27624,60231,48.5,2.4,0.6,0.3,1.4,2.1,68,47929,5878,3389,463,720,398,568,1240,2489,476,15466,8881,6260,1942,679,3426,859,649,1651,1743,8550,3138,2537,2445,430,3073,2672,547,122,1107,361,751,1748,5434,326,5108
2009,midwest,Cleveland,1115,59142,53.2,2.5,0.6,0.3,1.3,2,68,44561,5534,3264,474,657,371,560,1201,2270,398,14720,8337,5323,2482,532,3680,647,626,1430,1349,6931,2032,1706,2774,418,2824,2598,533,92,1198,467,769,1470,5680,277,5403
2005,midwest,All consumer units in the Midwest,27105,57295,48.7,2.4,0.6,0.3,1.4,2.1,70,45068,5759,3246,443,725,378,524,1176,2513,493,14419,8067,5792,1738,537,3221,843,612,1676,1725,7626,2907,2059,2268,393,2828,2322,526,130,974,365,821,1885,5196,362,4833
2010,midwest,Chicago,3489,76917,49.6,2.7,0.7,0.3,1.5,1.8,69,57579,7158,4276,602,904,404,903,1465,2882,439,20520,13063,8770,3156,1137,3981,1332,666,1478,2056,8342,2624,2445,2412,861,4085,3100,726,123,1776,263,794,1595,6602,402,6201
2010,midwest,Detroit,2079,65060,50.1,2.5,0.6,0.3,1.2,2.1,70,50467,6329,4034,573,837,406,782,1436,2295,445,16267,9341,6455,2240,646,4036,891,631,1368,1448,8790,2705,2606,2956,523,3178,2673,580,121,1474,410,1359,1646,5747,334,5413
2004,midwest,All consumer units in the Midwest,26767,55215,48.8,2.4,0.6,0.3,1.4,2.1,72,44322,5672,3210,450,747,374,514,1126,2462,443,13852,7665,5527,1608,530,3064,734,640,1749,1711,7795,3259,1801,2365,371,2859,2293,539,141,951,356,821,1828,5058,411,4648
2010,midwest,Cleveland,1146,58358,54.8,2.3,0.5,0.4,1.2,1.9,70,45768,5665,3253,466,600,331,578,1278,2412,397,14653,8554,5569,2315,670,3434,577,728,1360,1657,7815,2598,2086,2572,559,2849,2671,626,103,1227,334,692,1769,5309,279,5030
2006,midwest,All consumer units in the Midwest,27334,58688,48.6,2.4,0.6,0.3,1.4,2.1,69,46812,5778,3256,438,715,370,538,1195,2522,512,15067,8531,6054,1848,629,3303,891,613,1730,1828,8159,3070,2275,2386,428,2957,2525,541,127,1069,360,792,1847,5247,346,4902
2011,midwest,Chicago,3489,74390,49.8,2.6,0.7,0.3,1.4,1.8,67,57706,7122,4187,596,878,400,862,1451,2935,503,20124,12762,8221,3540,1001,3897,1452,584,1429,2059,8656,2729,2754,2388,785,4380,2812,678,123,2147,233,948,1755,6167,425,5742
2011,midwest,Detroit,1975,79846,50.9,2.4,0.6,0.3,1.2,2.1,70,50522,6741,4125,583,843,434,830,1434,2616,470,15994,8968,6017,2308,643,3850,1067,637,1471,1505,9473,3046,2968,2828,632,3301,2561,655,126,992,416,850,1811,5627,252,5375
2008,northeast,All consumer units in the Northeast,22379,71085,51.1,2.4,0.5,0.3,1.3,1.7,65,54399,6967,4032,571,919,448,738,1355,2935,462,19434,11984,7700,3288,995,4106,1186,652,1505,1878,8510,2721,2086,2979,723,3083,2863,620,141,1648,382,886,1527,6000,367,5632
