State,city_state,County,DMA,year,population
" TX","Abilene, TX",TAYLOR,Abilene-Sweetwater,2012,119985
" TX","Abilene, TX",TAYLOR,Abilene-Sweetwater,2011,118760
" TX","Abilene, TX",TAYLOR,Abilene-Sweetwater,2010,117794
" TX","Abilene, TX",TAYLOR,Abilene-Sweetwater,2009,117180
" TX","Abilene, TX",TAYLOR,Abilene-Sweetwater,2008,116260
" TX","Abilene, TX",TAYLOR,Abilene-Sweetwater,2007,116149
" TX","Abilene, TX",TAYLOR,Abilene-Sweetwater,2006,115734
" TX","Abilene, TX",TAYLOR,Abilene-Sweetwater,2005,115572
" TX","Abilene, TX",TAYLOR,Abilene-Sweetwater,2004,115305
" NM","Albuquerque, NM",BERNALILLO,"Albuquerque-Santa Fe",2012,554888
" NM","Albuquerque, NM",BERNALILLO,"Albuquerque-Santa Fe",2011,551723
" NM","Albuquerque, NM",BERNALILLO,"Albuquerque-Santa Fe",2010,547092
" NM","Albuquerque, NM",BERNALILLO,"Albuquerque-Santa Fe",2009,529219
" NM","Albuquerque, NM",BERNALILLO,"Albuquerque-Santa Fe",2008,523240
" NM","Albuquerque, NM",BERNALILLO,"Albuquerque-Santa Fe",2007,517162
" NM","Albuquerque, NM",BERNALILLO,"Albuquerque-Santa Fe",2006,508486
" NM","Albuquerque, NM",BERNALILLO,"Albuquerque-Santa Fe",2005,497543
" NM","Albuquerque, NM",BERNALILLO,"Albuquerque-Santa Fe",2004,486319
" TX","Amarillo, TX",POTTER,Amarillo,2012,195754
" TX","Amarillo, TX",POTTER,Amarillo,2011,193972
" TX","Amarillo, TX",POTTER,Amarillo,2010,191335
" TX","Amarillo, TX",POTTER,Amarillo,2009,189392
" TX","Amarillo, TX",POTTER,Amarillo,2008,187068
" TX","Amarillo, TX",POTTER,Amarillo,2007,185580
" TX","Amarillo, TX",POTTER,Amarillo,2006,184323
" TX","Amarillo, TX",POTTER,Amarillo,2005,182300
" TX","Amarillo, TX",POTTER,Amarillo,2004,180091
" AK","Anchorage, AK",ANCHORAGE,Anchorage,2012,298613
" AK","Anchorage, AK",ANCHORAGE,Anchorage,2011,296333
" AK","Anchorage, AK",ANCHORAGE,Anchorage,2010,293405
" AK","Anchorage, AK",ANCHORAGE,Anchorage,2009,286174
" AK","Anchorage, AK",ANCHORAGE,Anchorage,2008,280471
" AK","Anchorage, AK",ANCHORAGE,Anchorage,2007,278504
" AK","Anchorage, AK",ANCHORAGE,Anchorage,2006,279935
" AK","Anchorage, AK",ANCHORAGE,Anchorage,2005,276863
" AK","Anchorage, AK",ANCHORAGE,Anchorage,2004,274852
" GA","Athens-Clarke County, GA",Athens-Clarke,"ATLANTA (GA)",2012,118951
" GA","Athens-Clarke County, GA",Athens-Clarke,"ATLANTA (GA)",2011,117205
" GA","Athens-Clarke County, GA",Athens-Clarke,"ATLANTA (GA)",2010,116215
" GA","Athens-Clarke County, GA",Athens-Clarke,"ATLANTA (GA)",2009,114983
" GA","Athens-Clarke County, GA",Athens-Clarke,"ATLANTA (GA)",2008,113812
" GA","Athens-Clarke County, GA",Athens-Clarke,"ATLANTA (GA)",2007,112163
" GA","Athens-Clarke County, GA",Athens-Clarke,"ATLANTA (GA)",2006,110247
" GA","Athens-Clarke County, GA",Athens-Clarke,"ATLANTA (GA)",2005,107836
" GA","Athens-Clarke County, GA",Athens-Clarke,"ATLANTA (GA)",2004,108043
" GA","Augusta Richmond County, GA","Augusta Richmond County",Augusta,2012,197156
" GA","Augusta Richmond County, GA","Augusta Richmond County",Augusta,2011,195828
" GA","Augusta Richmond County, GA","Augusta Richmond County",Augusta,2010,196222
" GA","Augusta Richmond County, GA","Augusta Richmond County",Augusta,2009,194343
" GA","Augusta Richmond County, GA","Augusta Richmond County",Augusta,2008,193949
" GA","Augusta Richmond County, GA","Augusta Richmond County",Augusta,2007,192069
" GA","Augusta Richmond County, GA","Augusta Richmond County",Augusta,2006,192029
" GA","Augusta Richmond County, GA","Augusta Richmond County",Augusta,2005,191753
" GA","Augusta Richmond County, GA","Augusta Richmond County",Augusta,2004,192890
" TX","Austin, TX",TRAVIS,Austin,2012,865184
" TX","Austin, TX",TRAVIS,Austin,2011,839168
" TX","Austin, TX",TRAVIS,Austin,2010,815974
" TX","Austin, TX",TRAVIS,Austin,2009,786386
" TX","Austin, TX",TRAVIS,Austin,2008,767201
" TX","Austin, TX",TRAVIS,Austin,2007,749120
" TX","Austin, TX",TRAVIS,Austin,2006,730729
" TX","Austin, TX",TRAVIS,Austin,2005,708293
" TX","Austin, TX",TRAVIS,Austin,2004,696384
" CA","Bakersfield, CA",KERN,Bakersfield,2012,358106
" CA","Bakersfield, CA",KERN,Bakersfield,2011,353581
" CA","Bakersfield, CA",KERN,Bakersfield,2010,348930
" CA","Bakersfield, CA",KERN,Bakersfield,2009,324463
" CA","Bakersfield, CA",KERN,Bakersfield,2008,318701
" CA","Bakersfield, CA",KERN,Bakersfield,2007,312454
" CA","Bakersfield, CA",KERN,Bakersfield,2006,303082
" CA","Bakersfield, CA",KERN,Bakersfield,2005,291553
" CA","Bakersfield, CA",KERN,Bakersfield,2004,279717
" MD","Baltimore, MD","BALTIMORE CITY",Baltimore,2012,622705
" MD","Baltimore, MD","BALTIMORE CITY",Baltimore,2011,620792
" MD","Baltimore, MD","BALTIMORE CITY",Baltimore,2010,621180
" MD","Baltimore, MD","BALTIMORE CITY",Baltimore,2009,637418
" MD","Baltimore, MD","BALTIMORE CITY",Baltimore,2008,638091
" MD","Baltimore, MD","BALTIMORE CITY",Baltimore,2007,640150
