State,city_state,County,DMA,Year,population
 TX,"Abilene, TX",TAYLOR,Abilene-Sweetwater,2014,120803
 TX,"Abilene, TX",TAYLOR,Abilene-Sweetwater,2013,119938
 TX,"Abilene, TX",TAYLOR,Abilene-Sweetwater,2012,119985
 TX,"Abilene, TX",TAYLOR,Abilene-Sweetwater,2011,118760
 TX,"Abilene, TX",TAYLOR,Abilene-Sweetwater,2010,117794
 TX,"Abilene, TX",TAYLOR,Abilene-Sweetwater,2009,117180
 TX,"Abilene, TX",TAYLOR,Abilene-Sweetwater,2008,116260
 TX,"Abilene, TX",TAYLOR,Abilene-Sweetwater,2007,116149
 TX,"Abilene, TX",TAYLOR,Abilene-Sweetwater,2006,115734
 TX,"Abilene, TX",TAYLOR,Abilene-Sweetwater,2005,115572
 TX,"Abilene, TX",TAYLOR,Abilene-Sweetwater,2004,115305
 NM,"Albuquerque, NM",BERNALILLO,Albuquerque-Santa Fe,2014,557894
 NM,"Albuquerque, NM",BERNALILLO,Albuquerque-Santa Fe,2013,556880
 NM,"Albuquerque, NM",BERNALILLO,Albuquerque-Santa Fe,2012,554888
 NM,"Albuquerque, NM",BERNALILLO,Albuquerque-Santa Fe,2011,551723
 NM,"Albuquerque, NM",BERNALILLO,Albuquerque-Santa Fe,2010,547092
 NM,"Albuquerque, NM",BERNALILLO,Albuquerque-Santa Fe,2009,529219
 NM,"Albuquerque, NM",BERNALILLO,Albuquerque-Santa Fe,2008,523240
 NM,"Albuquerque, NM",BERNALILLO,Albuquerque-Santa Fe,2007,517162
 NM,"Albuquerque, NM",BERNALILLO,Albuquerque-Santa Fe,2006,508486
 NM,"Albuquerque, NM",BERNALILLO,Albuquerque-Santa Fe,2005,497543
 NM,"Albuquerque, NM",BERNALILLO,Albuquerque-Santa Fe,2004,486319
 TX,"Amarillo, TX",POTTER,Amarillo,2014,197786
 TX,"Amarillo, TX",POTTER,Amarillo,2013,196746
 TX,"Amarillo, TX",POTTER,Amarillo,2012,195754
 TX,"Amarillo, TX",POTTER,Amarillo,2011,193972
 TX,"Amarillo, TX",POTTER,Amarillo,2010,191335
 TX,"Amarillo, TX",POTTER,Amarillo,2009,189392
 TX,"Amarillo, TX",POTTER,Amarillo,2008,187068
 TX,"Amarillo, TX",POTTER,Amarillo,2007,185580
 TX,"Amarillo, TX",POTTER,Amarillo,2006,184323
 TX,"Amarillo, TX",POTTER,Amarillo,2005,182300
 TX,"Amarillo, TX",POTTER,Amarillo,2004,180091
 AK,"Anchorage, AK",ANCHORAGE,Anchorage,2014,300357
 AK,"Anchorage, AK",ANCHORAGE,Anchorage,2013,301537
 AK,"Anchorage, AK",ANCHORAGE,Anchorage,2012,298613
 AK,"Anchorage, AK",ANCHORAGE,Anchorage,2011,296333
 AK,"Anchorage, AK",ANCHORAGE,Anchorage,2010,293405
 AK,"Anchorage, AK",ANCHORAGE,Anchorage,2009,286174
 AK,"Anchorage, AK",ANCHORAGE,Anchorage,2008,280471
 AK,"Anchorage, AK",ANCHORAGE,Anchorage,2007,278504
 AK,"Anchorage, AK",ANCHORAGE,Anchorage,2006,279935
 AK,"Anchorage, AK",ANCHORAGE,Anchorage,2005,276863
 AK,"Anchorage, AK",ANCHORAGE,Anchorage,2004,274852
 GA,"Athens-Clarke County, GA",Athens-Clarke,ATLANTA (GA),2014,119526
 GA,"Athens-Clarke County, GA",Athens-Clarke,ATLANTA (GA),2013,119840
 GA,"Athens-Clarke County, GA",Athens-Clarke,ATLANTA (GA),2012,118951
 GA,"Athens-Clarke County, GA",Athens-Clarke,ATLANTA (GA),2011,117205
 GA,"Athens-Clarke County, GA",Athens-Clarke,ATLANTA (GA),2010,116215
 GA,"Athens-Clarke County, GA",Athens-Clarke,ATLANTA (GA),2009,114983
